"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","LP","NM"
"VH","VH","tap_from_left","NM","LN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
