"tool_cubeness","tool_symmetry","tool_convexity","tool_eccentricity","obj_sphereness","obj_cubeness","obj_symmetry","obj_eccentricity","action","effect_X","effect_Y"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","NM","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","H","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","H","tap_from_left","LP","LN"
"MH","MH","MH","L","H","MH","MH","H","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","MH","H","H","H","push","LP","NM"
"MH","MH","MH","L","MH","H","H","H","tap_from_left","NM","LN"
"MH","MH","MH","L","MH","H","H","H","tap_from_right","NM","LP"
"MH","MH","MH","L","MH","H","H","H","pull","NM","NM"
